                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0255,                 2.5408,                 1.1329,                0.68209,                0.53798,                0.53697,                0.21117,                  1.962,                  2.925,                 1.0982,             0.00055324,             0.00055324,             0.00055324
                      2,                 1.8216,                 1.5406,                 1.0778,                0.46788,                0.44536,                0.41923,                0.17073,                  2.059,                 2.6302,                  1.104,              0.0010723,              0.0010723,              0.0010723
                      3,                 1.7303,                 1.2376,                 1.0517,                0.51257,                0.51716,                0.47636,                0.20395,                 1.9122,                 1.8207,                 1.0788,              0.0015547,              0.0015547,              0.0015547
                      4,                 1.6806,                 1.1164,                 1.0313,                0.65832,                0.51841,                0.54273,                 0.2326,                 1.9468,                 1.4255,                 1.0818,               0.001502,               0.001502,               0.001502
                      5,                 1.6229,                 1.0382,                 1.0203,                0.70015,                0.55421,                 0.5968,                0.25638,                 1.8806,                 1.2607,                 1.0832,               0.001502,               0.001502,               0.001502
                      6,                  1.591,                0.99213,                0.99923,                0.72419,                0.58173,                0.60304,                0.25779,                 1.9288,                 1.2553,                  1.076,               0.001447,               0.001447,               0.001447
                      7,                 1.5297,                0.94086,                0.99046,                0.77262,                0.57585,                0.62882,                0.27571,                 1.8165,                 1.1553,                 1.0648,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.4951,                0.90296,                0.97408,                0.77721,                0.56913,                0.63709,                0.27508,                  1.827,                 1.1565,                 1.0596,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.4664,                0.87813,                0.97357,                0.78085,                0.57016,                0.62007,                 0.2661,                 1.8409,                 1.1972,                 1.0605,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.4429,                0.86057,                0.96248,                0.73878,                0.60744,                0.64004,                0.27833,                 1.8461,                 1.1824,                 1.0788,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.4217,                0.84256,                0.95943,                0.78392,                0.58362,                0.65286,                0.30104,                 1.7464,                 1.0603,                 1.0322,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.3974,                0.81303,                 0.9495,                0.78144,                0.56233,                0.62835,                0.28598,                 1.7869,                 1.1295,                 1.0619,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.3965,                0.81407,                0.94897,                0.74453,                0.58424,                0.63568,                0.29064,                 1.7893,                 1.1297,                 1.0443,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.3555,                0.78335,                0.93856,                 0.7637,                0.60439,                0.64114,                0.30252,                  1.714,                 1.0725,                 1.0293,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.3335,                0.76367,                0.93489,                0.75336,                0.59161,                0.64053,                0.29165,                 1.7989,                  1.081,                  1.076,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.2997,                0.74335,                0.92758,                0.77182,                0.59893,                0.64979,                0.29817,                 1.7645,                  1.052,                  1.038,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.2933,                 0.7394,                0.92503,                0.76201,                0.59638,                0.63047,                0.28865,                 1.7658,                 1.1517,                  1.036,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.3073,                0.73968,                0.93125,                0.77284,                0.59154,                0.65461,                0.30665,                 1.7379,                 1.0911,                 1.0392,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.2492,                0.69923,                0.91629,                0.76772,                0.56998,                0.63309,                0.29553,                 1.7551,                 1.1105,                 1.0334,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.2702,                0.70939,                0.91807,                0.77319,                0.59978,                0.65211,                 0.3028,                 1.7397,                 1.0815,                 1.0392,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.2429,                0.70748,                0.92952,                0.74898,                 0.5814,                0.63129,                 0.2905,                 1.7364,                 1.0576,                 1.0355,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.2111,                0.68818,                0.92125,                0.73886,                0.59075,                0.63773,                0.28694,                 1.7956,                 1.0973,                 1.0639,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.2015,                0.67979,                0.91395,                0.77708,                0.59233,                0.65911,                0.30497,                 1.7621,                 1.0537,                 1.0526,             0.00051177,             0.00051177,             0.00051177
